Name;TobEx;Params;Label
ActionOverride;false;O:Actor,A:Action;This action can be used to control another creature. A creature referenced as the result of SetTokenObject is not a valid target for the ActionOverride action. The following is from the Irenicus cutscene after leaving his abode in chapter 1. 
Activate;false;O:Object;This action activates the target creature. The creature is returned to play - i.e. it is visible and can be interacted with. 
AddAreaFlag;false;I:TypeAREAFLAG;This action will add area flags (e.g. save enabled, tutorial) to the current area. The area flags value is OR'd, so multiple values can be set. Values are from areaflag.ids. 
AddAreaType;false;I:TypeAREATYPE;This action will add area type flags (e.g. outdoor, dungeon) to the current area. The areatype value is OR'd, so multiple values can be set. Values are from areatype.ids 
AddexperienceParty;false;I:XP;This action gives the specified amount of experience to the party. The XP amount is distributed among all current living party members. The example script is from ar1300.bcs. 
AddexperiencePartyGlobal;false;S:Name,S:Area;This action adds experience to the party, with the amount corresponding to a global variable. 
AddFamiliar;false;null;This action causes the active creature to become the players ally. The active creature does not act as a normal familiar (i.e. no HP bonus or Constitution loss on death). 
AddGlobals;false;S:Name,S:Name2;This action will add the variable specified by parameter 2 onto the variable specified by parameter 1 
AddJournalEntry;false;I:Entry,I:TypeJourType;This action adds an entry into the journal. The entry parameter is the strref to add, and the JourType is the type of entry (i.e. the location within the journal to add the entry to) - values are from jourtype.ids. 
AddKit;false;I:KitKIT;This action removes the active creature's current kit and adds the specified kit. Abilities from any previous kit are removed. AddKit(0) can be used to remove a creatures current kit without adding a new one. Class restrictions apply for kits. When attempting adding an invalid kit, the existing kit (if any) will be replied. 
AddMapNote;false;P:Position,I:StringRef;This action will add a map note onto the current area's mini-map at the specified position. The position is a location on the actual area map (not the minimap). 
AddSpecialAbility;false;S:ResRef;This action adds the specified spell to the active creature. The message <creature_name> has gained a special ability: 'Ability' is displayed in the message log. 
AddSuperKit;false;I:KitKIT;This action sets the active creatures kit to the specified kit . Abilities from any previous kits are kept. Class restrictions apply for kits. When attempting adding an invalid kit, the existing kit (if any) will be replied. 
AddWayPoint;false;P:WayPoint;This action is used to set waypoints for a creature to move between. it is commonly used from area scripts to script barmaids moving in a route around the bar. The point parameter represents the X and Y coordinates of the waypoint to add. 
AddXP2DA;false;S:Column;This action gives a level dependent amount of XP to the party. The XP amount is listed in xplist.2da at the intersection of the party level (column) and quest row (the mis-named parameter). The default file lists the same XP value for all quests for all levels. 
AddXPObject;false;O:Object,I:XP;This action adds the specified amount of XP onto the specified object. 
Ally;false;null;This action changes the active creature's allegiance to ALLY (i.e. a green selection circle). 
AmbientActivate;false;O:Object,I:StateBOOLEAN;This action is used in conjunction with animations in ARE files. The action sets the enabled state of an animation (specified by the object parameter). 
AnkhegEmerge;false;null;This action is likely called directly by the engine, and is used to give ankegs give the appearance of emerging from the ground. Calling the action from script has no effect. 
AnkhegHide;false;null;This action is likely called directly by the engine, and is used to give ankegs give the appearance of burrowing into the ground. Calling the action from script has no effect. 
ApplyDamage;false;O:Object,I:Amount,I:TypeDMGTYPE;This action inflicts the specified amount of damage (of the specified type) on the target creature. 
ApplyDamagePercent;false;O:Object,I:Amount,I:TypeDMGTYPE;This action applies a percentage damage (of the specified damage type) to the target object. 
ApplySpell;false;O:Target,I:SpellSpell;This action causes the active creature to cast the specified spell at the target object. The spell is applied instantly. no casting animation is played. The spell cannot be interrupted. For the RES version of the action, the spell name can not consist of only numbers, should be written in upper case and should be no more than 7 characters long. The RES action applies the spell at the lowest casting level - the casting level of the originating creature is ignored. Note that for normal spellcasting the probability dice values for effects are rolled for each spell, whereas spells applied in the same scripting block by ApplySpell use a single dice value. 
ApplySpellRES;false;S:ResRef,O:Target;This action causes the active creature to cast the specified spell at the target object. The spell is applied instantly. no casting animation is played. The spell cannot be interrupted. For the RES version of the action, the spell name can not consist of only numbers, should be written in upper case and should be no more than 7 characters long. The RES action applies the spell at the lowest casting level - the casting level of the originating creature is ignored. Note that for normal spellcasting the probability dice values for effects are rolled for each spell, whereas spells applied in the same scripting block by ApplySpell use a single dice value. 
AttachTransitionToDoor;false;S:GLOBAL,O:Object;This action is untested. It is likely that the first parameter refers to a transition trigger and the second parameter refers to a door type in an area. In this manner, the trigger is activated and deactivated based on the open state of the door. 
Attack;false;O:Target;This action instructs the active creature to continually attack the target, i.e. the active creature will not switch targets until its target is dead. 
