1STAFM0.SPL, name: Magic Missile, opcodes: 112 122 
1STAFM0B.SPL, name: Magic Missile, opcodes: 112 122 
1STAFM0C.SPL, name: Magic Missile, opcodes: 112 122 
1STAFM0D.SPL, name: Magic Missile, opcodes: 112 122 
1STAFM0E.SPL, name: Magic Missile, opcodes: 112 122 
1STAFM1.SPL, name: Magic Missile, opcodes: 112 122 
1TARSP.SPL, name: Wish, opcodes: 261 215 
1TARSS.SPL, name: Fireshield (Blue), opcodes: 85 174 232 142 215 28 
AX1H01.SPL, name: null, opcodes: 139 112 122 
BLUN02.SPL, name: null, opcodes: 139 112 122 
BLUN04.SPL, name: null, opcodes: 139 112 122 
BLUN06.SPL, name: null, opcodes: 139 112 122 
BLUN08.SPL, name: null, opcodes: 139 112 122 
BLUN38.SPL, name: null, opcodes: 54 
BPDISPEL.SPL, name: Dispel Magic, opcodes: 273 81 77 58 177 240 
BPGIAQKE.SPL, name: null, opcodes: 174 39 269 
BPLYKSUM.SPL, name: Animate Dead, opcodes: 177 
BPNDQKE.SPL, name: null, opcodes: 174 269 
CATTAC1.SPL, name: null, opcodes: 139 112 122 
CUTHIDE.SPL, name: null, opcodes: 16 287 271 
DAGG01.SPL, name: null, opcodes: 139 112 122 
DAGG06.SPL, name: null, opcodes: 139 112 122 
DAGG07.SPL, name: null, opcodes: 139 112 122 
DAGGSHIT.SPL, name: null, opcodes: 139 112 122 
FLIND1.SPL, name: null, opcodes: 139 112 122 
HALB01.SPL, name: null, opcodes: 139 112 122 
HAMM01.SPL, name: null, opcodes: 139 112 122 
KELDORN.SPL, name: Fireshield (Blue), opcodes: 12 
LEAT23A.SPL, name: Thorns, opcodes: 12 
MARW201.SPL, name: Daer'Ragh's Mental Agility, opcodes: 189 
MARW301.SPL, name: Daer'Ragh's Physical Agility, opcodes: 190 15 
MARW401.SPL, name: Daer'Ragh's Aura Cleansing, opcodes: 188 
MDK2SUMM.SPL, name: The MDK2 Spell, opcodes: 174 177 
MISLEAD.SPL, name: Project Image, opcodes: 1 144 8 126 
NCUT01.SPL, name: Wild Magic Zone, opcodes: 141 215 
ohcut1hp.SPL, name: null, opcodes: 208 
OHDETEVL.SPL, name: null, opcodes: 115 
OHDSW0.SPL, name: null, opcodes: 221 139 
OHDSW1.SPL, name: null, opcodes: 221 139 309 278 
OHDSW2.SPL, name: null, opcodes: 206 
OHDSW3.SPL, name: null, opcodes: 206 
OHLOST.SPL, name: Find Familiar, opcodes: 172 
OHMISC90.SPL, name: Find Familiar, opcodes: 44 
OHWI924.SPL, name: null, opcodes: 141 174 151 
OHWI925.SPL, name: null, opcodes: 141 174 151 
PROJIMAG.SPL, name: Project Image, opcodes: 206 8 
SIMULACR.SPL, name: Project Image, opcodes: 8 
SPBLUN29.SPL, name: Chain Lightning, opcodes: 12 
SPBP0001.SPL, name: Stone to Flesh, opcodes: 43 
SPCL101.SPL, name: Dark Gift, opcodes: 34 35 139 206 33 174 36 142 37 9 131 215 
SPCL102.SPL, name: Absorb Health, opcodes: 206 146 
SPCL103.SPL, name: Aura of Despair, opcodes: 0 50 139 278 142 24 73 
SPCL104.SPL, name: Resist Fear, opcodes: 169 101 23 142 321 296 267 161 106 240 
SPCL105.SPL, name: Negative Plane Protection, opcodes: 169 101 142 282 267 
SPCL106.SPL, name: Animate Dead, opcodes: 177 
SPCL121.SPL, name: Called Shot, opcodes: 174 142 249 
SPCL122.SPL, name: null, opcodes: 167 286 
SPCL123.SPL, name: null, opcodes: 54 126 40 45 
SPCL131.SPL, name: null, opcodes: 166 
SPCL132.SPL, name: null, opcodes: 142 60 
SPCL133.SPL, name: null, opcodes: 248 
SPCL141.SPL, name: null, opcodes: 278 73 
SPCL142.SPL, name: null, opcodes: 0 
SPCL143.SPL, name: null, opcodes: 190 
SPCL144.SPL, name: Kai, opcodes: 250 174 142 
SPCL151.SPL, name: null, opcodes: 176 
SPCL152.SPL, name: Barbarian Rage, opcodes: 0 169 101 37 142 282 161 10 46 106 44 23 321 296 267 215 240 
SPCL153.SPL, name: null, opcodes: 87 86 89 88 
SPCL154.SPL, name: null, opcodes: 87 86 89 88 
SPCL211.SPL, name: Lay On Hands, opcodes: 17 50 139 215 
SPCL212.SPL, name: Detect Evil, opcodes: 141 146 
SPCL213.SPL, name: Protection From Evil, opcodes: 100 139 174 219 142 9 215 
SPCL221.SPL, name: null, opcodes: 169 101 173 142 161 106 23 321 296 267 27 177 240 30 
SPCL222.SPL, name: Remove Fear, opcodes: 50 169 101 141 174 23 142 321 267 161 106 240 
SPCL231.SPL, name: Dispel Magic, opcodes: 139 81 77 58 177 215 240 
SPCL232.SPL, name: True Sight, opcodes: 220 221 50 116 141 174 142 146 177 215 
SPCL232D.SPL, name: True Seeing, opcodes: 220 221 116 177 
SPCL233.SPL, name: Protection From Evil, 10' Radius, opcodes: 100 139 174 219 142 9 215 
SPCL233B.SPL, name: null, opcodes: 169 101 142 296 267 
SPCL234.SPL, name: null, opcodes: 144 
SPCL235.SPL, name: null, opcodes: 144 
SPCL236.SPL, name: Sun Soulray, opcodes: 141 215 177 12 
SPCL237.SPL, name: Greater Sun, opcodes: 84 174 232 142 215 30 
spcl237d.SPL, name: Greater Sun, opcodes: 12 
SPCL238.SPL, name: Flaming Fists, opcodes: 141 174 248 142 215 
SPCL239.SPL, name: Sun Soulbeam, opcodes: 206 146 177 
SPCL239a.SPL, name: null, opcodes: 139 142 177 215 12 74 
SPCL241.SPL, name: null, opcodes: 177 
SPCL242.SPL, name: null, opcodes: 169 101 142 296 267 
SPCL311.SPL, name: Charm Animal, opcodes: 5 215 
SPCL321.SPL, name: Enrage, opcodes: 0 169 139 206 101 278 142 161 46 12 106 73 17 18 23 321 296 267 146 215 240 
SPCL321D.SPL, name: null, opcodes: 0 139 206 54 142 73 
SPCL322.SPL, name: null, opcodes: 144 
SPCL331.SPL, name: null, opcodes: 275 59 
SPCL332.SPL, name: null, opcodes: 263 
SPCL341.SPL, name: null, opcodes: 275 59 
SPCL342.SPL, name: Find Familiar, opcodes: 192 
SPCL351.SPL, name: null, opcodes: 144 
SPCL411.SPL, name: null, opcodes: 254 55 12 
SPCL411F.SPL, name: null, opcodes: 55 12 
SPCL412.SPL, name: Set Snare, opcodes: 252 215 
SPCL414.SPL, name: Set Special Snare, opcodes: 252 215 
SPCL415.SPL, name: null, opcodes: 169 101 206 141 175 174 142 40 12 166 85 254 84 87 86 155 185 213 267 177 89 88 
SPCL417.SPL, name: Special Snare, opcodes: 277 
SPCL421.SPL, name: null, opcodes: 278 73 
SPCL422.SPL, name: null, opcodes: 142 25 40 
SPCL423.SPL, name: Poison Weapon, opcodes: 141 174 248 142 249 321 
SPCL441.SPL, name: null, opcodes: 0 
SPCL442.SPL, name: null, opcodes: 263 
SPCL521.SPL, name: Offensive Spin, opcodes: 1 169 206 101 65 174 142 73 250 54 321 267 126 
SPCL521D.SPL, name: null, opcodes: 1 206 
SPCL522.SPL, name: Defensive Spin, opcodes: 0 101 174 65 142 321 126 176 
SPCL541.SPL, name: null, opcodes: 278 73 
SPCL542.SPL, name: null, opcodes: 251 
SPCL542A.SPL, name: null, opcodes: 0 169 101 278 23 321 142 296 267 161 106 73 240 
SPCL611.SPL, name: Shapeshifts Brown Bear, opcodes: 171 172 144 111 215 135 
SPCL612.SPL, name: Shapeshifts Wolf, opcodes: 171 172 144 111 215 135 
SPCL613.SPL, name: Shapeshifts Black Bear, opcodes: 171 172 144 111 215 135 
SPCL621.SPL, name: Summon Spirit Animal, opcodes: 214 
SPCL622.SPL, name: Spirit Snake, opcodes: 177 
SPCL623.SPL, name: Spirit Bear, opcodes: 177 
SPCL624.SPL, name: Spirit Lion, opcodes: 177 
SPCL625.SPL, name: Spirit Wolf, opcodes: 177 
SPCL631.SPL, name: null, opcodes: 171 
SPCL632.SPL, name: Shapeshifts Spider, opcodes: 171 172 144 111 215 135 
SPCL633.SPL, name: Shapeshifts Baby Wyvern, opcodes: 171 172 144 111 215 135 
SPCL634.SPL, name: Shapeshifts Fire Salamander, opcodes: 171 172 144 111 215 135 
SPCL641.SPL, name: Charm Person or Mammal, opcodes: 174 5 215 177 
SPCL642.SPL, name: null, opcodes: 10 44 
SPCL643.SPL, name: Shapeshifts Werewolf, opcodes: 171 172 111 215 135 
SPCL644.SPL, name: Shapeshifts Greater Werewolf, opcodes: 171 172 111 215 135 
SPCL6XX.SPL, name: Summon Spirit Animal, opcodes: 41 215 
SPCL721.SPL, name: Storm Shield, opcodes: 174 142 8 9 85 50 84 156 83 215 29 28 30 
SPCL722.SPL, name: Lightning Bolt, opcodes: 12 
SPCL731.SPL, name: Seeking Sword, opcodes: 174 111 215 
SPCL732.SPL, name: True Sight, opcodes: 220 221 50 116 141 174 142 146 177 215 
SPCL741.SPL, name: Boon of Lathander, opcodes: 34 1 35 169 101 33 141 174 36 142 37 282 73 50 54 267 215 
SPCL741D.SPL, name: null, opcodes: 1 206 
SPCL742.SPL, name: Hold Undead, opcodes: 185 177 
SPCL751.SPL, name: null, opcodes: 251 
SPCL751A.SPL, name: null, opcodes: 139 39 128 40 215 
SPCL801.SPL, name: null, opcodes: 248 142 
SPCL811.SPL, name: Stunning Blow, opcodes: 141 174 248 142 
SPCL812.SPL, name: null, opcodes: 176 
SPCL813.SPL, name: null, opcodes: 176 
SPCL814.SPL, name: null, opcodes: 169 101 206 267 
SPCL815.SPL, name: Lay On Hands, opcodes: 17 50 139 215 
SPCL816.SPL, name: null, opcodes: 190 
SPCL817.SPL, name: null, opcodes: 169 101 142 296 267 
SPCL818.SPL, name: null, opcodes: 169 101 173 142 267 
SPCL819.SPL, name: null, opcodes: 166 
SPCL820.SPL, name: Quivering Palm, opcodes: 141 174 248 142 
SPCL821.SPL, name: null, opcodes: 120 
SPCL822.SPL, name: null, opcodes: 0 
SPDD01.SPL, name: null, opcodes: 0 
SPDD02.SPL, name: null, opcodes: 30 
SPDD03.SPL, name: Breath Weapon, opcodes: 174 215 12 165 
SPDD04.SPL, name: null, opcodes: 10 
SPDD05.SPL, name: null, opcodes: 0 
SPDD06.SPL, name: null, opcodes: 0 10 
SPDD07.SPL, name: null, opcodes: 0 
SPDM101.SPL, name: Blindness, opcodes: 50 139 174 142 215 74 
SPDM102.SPL, name: Blur, opcodes: 34 0 35 139 206 33 174 65 36 37 
SPDM103.SPL, name: Ghoul Touch, opcodes: 111 215 
SPDM104.SPL, name: null, opcodes: 142 276 
SPDM105.SPL, name: Frozen Fist, opcodes: 248 215 
SPDM106.SPL, name: Mirror Image, opcodes: 119 139 174 
SPDM107.SPL, name: null, opcodes: 0 
SPDN01A.SPL, name: null, opcodes: 17 50 139 141 215 12 
SPDR101.SPL, name: Chromatic Orb, opcodes: 0 139 141 174 142 12 74 44 15 45 134 55 54 
SPDR201.SPL, name: Web, opcodes: 139 174 157 142 109 
SPDR301.SPL, name: Lightning Bolt, opcodes: 12 
SPDR401.SPL, name: Improved Invisibility, opcodes: 139 141 174 20 
SPDR501.SPL, name: Chaos, opcodes: 50 139 174 142 128 215 
SPDR601.SPL, name: Chain Lightning, opcodes: 12 
SPDWD01.SPL, name: null, opcodes: 87 86 89 88 
SPDWD02.SPL, name: Defensive Stance, opcodes: 34 35 33 36 37 142 87 86 321 176 215 89 88 
SPER01.SPL, name: null, opcodes: 139 112 122 
SPIN001.SPL, name: Druid Polymorph, opcodes: 135 
SPIN101.SPL, name: Cure Light Wounds, opcodes: 17 50 139 215 164 
SPIN102.SPL, name: Slow Poison, opcodes: 50 141 174 11 164 
SPIN103.SPL, name: Draw Upon Holy Might, opcodes: 139 174 142 8 132 
SPIN104.SPL, name: Larloch's Minor Drain, opcodes: 206 146 
SPIN104A.SPL, name: null, opcodes: 18 141 174 12 
SPIN105.SPL, name: Horror, opcodes: 50 139 174 142 24 215 106 
SPIN106.SPL, name: Vampiric Touch, opcodes: 206 146 
SPIN106A.SPL, name: null, opcodes: 141 174 146 215 12 
SPIN106B.SPL, name: null, opcodes: 206 18 215 
SPIN107.SPL, name: Shapeshifts Brown Bear, opcodes: 171 174 172 144 111 215 135 
SPIN108.SPL, name: Charm Animal, opcodes: 5 215 
SPIN109.SPL, name: Lay On Hands, opcodes: 17 50 139 141 
SPIN110.SPL, name: Shapeshifts Wolf, opcodes: 171 174 172 144 111 215 135 
SPIN111.SPL, name: Shapeshifts Black Bear, opcodes: 171 174 172 144 111 215 135 
SPIN112.SPL, name: Dispel Magic, opcodes: 139 141 81 174 58 77 177 215 240 
SPIN113.SPL, name: Spiritual Hammer, opcodes: 111 
SPIN114.SPL, name: Summon Dread Wolf, opcodes: 174 67 
SPIN115.SPL, name: Summon Ghast, opcodes: 174 67 
SPIN116.SPL, name: Create Poisoned Arrows, opcodes: 174 122 
SPIN117.SPL, name: Berserk, opcodes: 139 169 101 3 142 161 12 106 44 15 17 18 23 321 296 267 240 
SPIN118.SPL, name: Invisibility, opcodes: 139 20 
SPIN119.SPL, name: Charm Person, opcodes: 5 177 
SPIN120.SPL, name: Detect Evil, opcodes: 141 146 
SPIN121.SPL, name: Protection From Evil, opcodes: 0 34 35 139 169 101 33 141 174 36 142 37 9 296 267 
SPIN122.SPL, name: Shapeshifts Natural Form, opcodes: 279 112 172 111 215 135 
SPIN123.SPL, name: Shapeshifts Natural Form, opcodes: 279 112 172 111 215 135 
SPIN124.SPL, name: Shapeshifts Natural Form, opcodes: 141 279 174 112 172 111 215 135 
SPIN125.SPL, name: Shapeshifts Spider, opcodes: 171 174 172 144 111 215 135 
SPIN126.SPL, name: Shapeshifts Baby Wyvern, opcodes: 171 174 172 144 111 215 135 
SPIN127.SPL, name: Shapeshifts Fire Salamander, opcodes: 171 174 172 144 111 215 135 
SPIN150.SPL, name: Shapeshifts Natural Form, opcodes: 279 141 174 172 112 135 
SPIN151.SPL, name: Shapeshifts Natural Form, opcodes: 171 279 172 112 215 135 
SPIN152.SPL, name: Shapechange: Mind Flayer, opcodes: 171 112 144 111 215 135 
SPIN153.SPL, name: Shapechange: Iron Golem, opcodes: 171 141 172 112 144 111 215 135 
SPIN154.SPL, name: Shapechange: Giant Troll, opcodes: 171 172 112 144 111 215 135 
SPIN155.SPL, name: Shapechange: Greater Wolfwere, opcodes: 171 172 112 144 111 215 135 
SPIN156.SPL, name: Shapechange: Fire Elemental, opcodes: 171 172 112 144 111 215 135 
SPIN157.SPL, name: Shapechange: Earth Elemental, opcodes: 171 172 112 144 111 215 135 
SPIN160.SPL, name: Breathe Fireball, opcodes: 215 12 
SPIN575.SPL, name: Vortex Web, opcodes: 0 141 174 54 142 321 40 
SPIN649.SPL, name: Pocket Plane, opcodes: 174 298 215 
SPIN656.SPL, name: null, opcodes: 68 141 39 174 215 12 
SPIN657.SPL, name: , opcodes: 
SPIN658.SPL, name: null, opcodes: 235 39 174 
SPIN659.SPL, name: null, opcodes: 151 
SPIN660.SPL, name: Teleport, opcodes: 68 141 174 215 
SPIN661.SPL, name: null, opcodes: 71 
SPIN662.SPL, name: Dispel Magic, opcodes: 71 141 174 215 
SPIN663.SPL, name: Flame Blade, opcodes: 111 
SPIN664.SPL, name: null, opcodes: 34 35 33 21 174 36 37 
SPIN665.SPL, name: null, opcodes: 174 
SPIN666.SPL, name: Level Drain, opcodes: 216 174 
SPIN667.SPL, name: End Slayer Change, opcodes: 141 174 172 112 265 31 135 
SPIN668.SPL, name: null, opcodes: 295 
SPIN669.SPL, name: null, opcodes: 295 
SPIN670.SPL, name: null, opcodes: 174 151 
SPIN671.SPL, name: Teleport, opcodes: 68 174 215 
SPIN672.SPL, name: null, opcodes: 174 20 
SPIN673.SPL, name: Cloudkill, opcodes: 55 174 215 12 
SPIN674.SPL, name: Chaos, opcodes: 50 139 174 142 128 215 
SPIN675.SPL, name: Wandering Horror, opcodes: 50 174 142 24 264 215 106 
SPIN676.SPL, name: Invoke Courage, opcodes: 34 35 169 33 101 141 174 36 37 142 161 106 284 50 23 321 267 240 
SPIN677.SPL, name: null, opcodes: 174 177 
SPIN678.SPL, name: null, opcodes: 103 49 57 
SPIN679.SPL, name: Heal, opcodes: 17 50 139 81 77 79 11 240 75 164 
SPIN680.SPL, name: Deathsong, opcodes: 50 139 174 142 24 215 106 
SPIN681.SPL, name: Wail of the Banshee, opcodes: 141 55 174 
SPIN682.SPL, name: Lower Fire Resistance, opcodes: 141 174 30 
SPIN683.SPL, name: Web Tangle, opcodes: 174 157 142 109 
SPIN684.SPL, name: True Sight, opcodes: 220 50 141 174 142 177 
SPIN685.SPL, name: Magic Missile, opcodes: 141 12 
SPIN686.SPL, name: Protection From Magical Weapons, opcodes: 50 139 206 174 142 120 
SPIN687.SPL, name: Create Shadows, opcodes: 139 141 174 20 
SPIN688.SPL, name: Plant Growth, opcodes: 0 154 174 126 
SPIN689.SPL, name: Summon Insects, opcodes: 272 141 142 60 
SPIN690.SPL, name: null, opcodes: 174 
SPIN691.SPL, name: Black Dragon Breath, opcodes: 174 215 12 
SPIN692.SPL, name: Silence, 15' Radius, opcodes: 139 38 174 142 
SPIN693.SPL, name: null, opcodes: 174 12 
SPIN694.SPL, name: Stoneskin, opcodes: 174 218 
SPIN695.SPL, name: Wing Buffet, opcodes: 273 235 39 174 12 
SPIN696.SPL, name: Moon Dog Sight, opcodes: 220 50 115 141 215 150 
SPIN697.SPL, name: Mirror Image, opcodes: 119 139 174 
SPIN698.SPL, name: Improved Invisibility, opcodes: 69 139 141 174 20 
SPIN699.SPL, name: Healing Lick, opcodes: 17 50 81 79 215 11 240 75 
SPIN700.SPL, name: How COULD I have thought otherwise? Of COURSE you are., opcodes: 17 18 
SPIN701.SPL, name: Fireball, opcodes: 265 12 
SPIN702.SPL, name: Spawn Demons, opcodes: 174 215 
SPIN703.SPL, name: Dispel Magic, opcodes: 139 81 174 77 58 215 177 240 
SPIN704.SPL, name: Confusion, opcodes: 139 174 142 128 215 
